STD
Asaru prospekts 61, Jūrmala, LV-2008
Asaru prospekts 66, Jūrmala, LV-2008
Asaru prospekts 68, Jūrmala, LV-2008
Asaru prospekts 70, Jūrmala, LV-2008
Asaru prospekts 72, Jūrmala, LV-2008
Asaru prospekts 72A, Jūrmala, LV-2008
Asnu iela 1, Jūrmala, LV-2011
Asnu iela 3, Jūrmala, LV-2011
Asnu iela 5, Jūrmala, LV-2011
Atbalss iela 1, Jūrmala, LV-2008
Atbalss iela 11A, Jūrmala, LV-2011
Atbalss iela 14, Jūrmala, LV-2011
Atbalss iela 15, Jūrmala, LV-2011
Atbalss iela 17, Jūrmala, LV-2011
Atbalss iela 19, Jūrmala, LV-2011
Atbalss iela 19A, Jūrmala, LV-2011
Atbalss iela 4, Jūrmala, LV-2011
Atbalss iela 6, Jūrmala, LV-2011
Atbalss iela 8, Jūrmala, LV-2011
Atbalss iela 9, Jūrmala, LV-2011
Ātrā iela 6 k-2, Jūrmala, LV-2015
Ātrā iela 8, Jūrmala, LV-2015
Audēju iela 2, Jūrmala, LV-2011
Ziedoņa iela 6, Jūrmala, LV-2012
Augļu iela 10, Jūrmala, LV-2012
Augļu iela 11, Jūrmala, LV-2012
Augļu iela 12, Jūrmala, LV-2012
Augļu iela 13, Jūrmala, LV-2012
Augļu iela 14, Jūrmala, LV-2012
Augļu iela 1A, Jūrmala, LV-2012
Augļu iela 2, Jūrmala, LV-2012
Augļu iela 3, Jūrmala, LV-2012
Augļu iela 4, Jūrmala, LV-2012
Augļu iela 6, Jūrmala, LV-2012
Augļu iela 7, Jūrmala, LV-2012
Augļu iela 8, Jūrmala, LV-2012
Augļu iela 9, Jūrmala, LV-2012
Augusta iela 4A, Jūrmala, LV-2015
Augusta iela 6B, Jūrmala, LV-2015
Ausekļa iela 14, Jūrmala, LV-2008
Ausekļa iela 20, Jūrmala, LV-2008
Ausekļa iela 23, Jūrmala, LV-2008
Ausekļa iela 25, Jūrmala, LV-2008
Ausekļa iela 34, Jūrmala, LV-2008
Ausekļa iela 6, Jūrmala, LV-2008
Ausmas iela 5, Jūrmala, LV-2015
Ausmas iela 6, Jūrmala, LV-2015
Aveņu iela 16, Jūrmala, LV-2008
Aveņu iela 18, Jūrmala, LV-2008
Aveņu iela 29, Jūrmala, LV-2008
Aveņu iela 2A, Jūrmala, LV-2008
Aveņu iela 32, Jūrmala, LV-2008
Aveņu iela 33, Jūrmala, LV-2008
Aveņu iela 35, Jūrmala, LV-2008
Aveņu iela 37, Jūrmala, LV-2008
Aveņu iela 39, Jūrmala, LV-2008
Aveņu iela 4, Jūrmala, LV-2008
Aveņu iela 42, Jūrmala, LV-2008
Aveņu iela 43, Jūrmala, LV-2008
Aveņu iela 44, Jūrmala, LV-2008
Aveņu iela 47, Jūrmala, LV-2008
Aveņu iela 4A, Jūrmala, LV-2008
Aveņu iela 55, Jūrmala, LV-2008
Aveņu iela 7, Jūrmala, LV-2008
Aveņu iela 8, Jūrmala, LV-2008
Aveņu iela 9, Jūrmala, LV-2008
Avotu iela 12A, Jūrmala, LV-2015
Avotu iela 14, Jūrmala, LV-2015
Avotu iela 16, Jūrmala, LV-2015
Avotu iela 2A, Jūrmala, LV-2015
Avotu iela 4, Jūrmala, LV-2015
Avotu iela 7, Jūrmala, LV-2015
Avotu iela 8, Jūrmala, LV-2015
Avotu iela 9, Jūrmala, LV-2015
Babītes iela 1, Jūrmala, LV-2010
Babītes iela 1 k-3, Jūrmala, LV-2010
Babītes iela 3 k-2, Jūrmala, LV-2010
Babītes iela 3 k-3, Jūrmala, LV-2010
Babītes iela 3 k-4, Jūrmala, LV-2010
Babītes iela 3 k-5, Jūrmala, LV-2010
Babītes iela 3 k-6, Jūrmala, LV-2010
Babītes iela 3 k-7, Jūrmala, LV-2010
Babītes iela 3 k-8, Jūrmala, LV-2010
Baļķu iela 4, Jūrmala, LV-2008
Baldones iela 6, Jūrmala, LV-2010
Baldones iela 7A, Jūrmala, LV-2010
Baložu iela 10 k-3, Jūrmala, LV-2008
Baložu iela 5, Jūrmala, LV-2008
Balvu iela 2, Jūrmala, LV-2015
Balvu iela 4, Jūrmala, LV-2015
Balvu iela 8A, Jūrmala, LV-2015
Bangu iela 2, Jūrmala, LV-2015
Bauskas iela 19, Jūrmala, LV-2010
Bauskas iela 19B, Jūrmala, LV-2010
Bauskas iela 2, Jūrmala, LV-2010
Bauskas iela 21, Jūrmala, LV-2010
Bauskas iela 22, Jūrmala, LV-2010
Bauskas iela 2A, Jūrmala, LV-2010
Bauskas iela 6, Jūrmala, LV-2010
Bauskas iela 7, Jūrmala, LV-2010
Baznīcas iela 11, Jūrmala, LV-2015
Baznīcas iela 12/14, Jūrmala, LV-2015
Baznīcas iela 13, Jūrmala, LV-2015
Baznīcas iela 23, Jūrmala, LV-2015
Baznīcas iela 30, Jūrmala, LV-2015
Baznīcas iela 5, Jūrmala, LV-2015
Baznīcas iela 6, Jūrmala, LV-2015
Baznīcas iela 7, Jūrmala, LV-2015
Bērzaunes iela 1 k-2, Jūrmala, LV-2015
Bērzu iela 1, Jūrmala, LV-2008
Bērzu iela 14, Jūrmala, LV-2008
Bērzu iela 15, Jūrmala, LV-2008
Bērzu iela 3, Jūrmala, LV-2008
Bērzu iela 4, Jūrmala, LV-2008
Bērzu iela 5, Jūrmala, LV-2008
Bērzu iela 6, Jūrmala, LV-2008
Bērzu iela 7, Jūrmala, LV-2008
Bērzu iela 9, Jūrmala, LV-2008
Bērzu iela 9A, Jūrmala, LV-2008
Bērzu iela 9C, Jūrmala, LV-2008
Bebru iela 4, Jūrmala, LV-2010
Bebru iela 2A, Jūrmala, LV-2010
Bezdelīgu iela 1, Jūrmala, LV-2015
Bezdelīgu iela 4, Jūrmala, LV-2015
Bišu iela 24, Jūrmala, LV-2012
Bišu iela 3A, Jūrmala, LV-2012
Bišu iela 8, Jūrmala, LV-2012
Rūdolfa Blaumaņa iela 10, Jūrmala, LV-2015
Rūdolfa Blaumaņa iela 11, Jūrmala, LV-2015
Rūdolfa Blaumaņa iela 14, Jūrmala, LV-2015
Rūdolfa Blaumaņa iela 18, Jūrmala, LV-2015
Rūdolfa Blaumaņa iela 3, Jūrmala, LV-2015
Rūdolfa Blaumaņa iela 5, Jūrmala, LV-2015
Rūdolfa Blaumaņa iela 9, Jūrmala, LV-2015
Blāzmas iela 3, Jūrmala, LV-2015
Braslas iela 1A, Jūrmala, LV-2008
Braslas iela 4, Jūrmala, LV-2008
Briežu iela 1, Jūrmala, LV-2011
Briežu iela 2, Jūrmala, LV-2011
Briežu iela 4, Jūrmala, LV-2011
Briežu iela 5, Jūrmala, LV-2011
Briežu iela 6, Jūrmala, LV-2011
Briežu iela 8, Jūrmala, LV-2011
Brikšķu iela 4, Jūrmala, LV-2016
Brīvības prospekts 104, Jūrmala, LV-2010
Brīvības prospekts 110, Jūrmala, LV-2010
Brīvības prospekts 2, Jūrmala, LV-2015
Brīvības prospekts 24, Jūrmala, LV-2015
Trikātas iela 2A, Jūrmala, LV-2015
Brīvības prospekts 36, Jūrmala, LV-2015
Brīvības prospekts 42, Jūrmala, LV-2015
Brīvības prospekts 44, Jūrmala, LV-2015
Brīvības prospekts 58, Jūrmala, LV-2015
Brīvības prospekts 6, Jūrmala, LV-2015
Brīvības prospekts 62, Jūrmala, LV-2015
Brīvības prospekts 78, Jūrmala, LV-2010
Brīvības prospekts 82, Jūrmala, LV-2010
Brīvības prospekts 84, Jūrmala, LV-2010
Brīvības prospekts 86, Jūrmala, LV-2010
Brocēnu iela 10, Jūrmala, LV-2012
Dundagas iela 2B, Jūrmala, LV-2012
Brocēnu iela 11, Jūrmala, LV-2012
Brocēnu iela 12, Jūrmala, LV-2012
Brocēnu iela 13, Jūrmala, LV-2012
Brocēnu iela 14, Jūrmala, LV-2012
Brocēnu iela 15, Jūrmala, LV-2012
Brocēnu iela 16, Jūrmala, LV-2012
Brocēnu iela 17, Jūrmala, LV-2012
Brocēnu iela 19, Jūrmala, LV-2012
Brocēnu iela 2, Jūrmala, LV-2012
Brocēnu iela 21, Jūrmala, LV-2012
Dundagas iela 4A, Jūrmala, LV-2012
Brocēnu iela 23, Jūrmala, LV-2012
Brocēnu iela 27, Jūrmala, LV-2012
Brocēnu iela 4, Jūrmala, LV-2012
Brocēnu iela 5, Jūrmala, LV-2012
Brocēnu iela 6, Jūrmala, LV-2012
Brocēnu iela 8, Jūrmala, LV-2012
Brūkleņu iela 2, Jūrmala, LV-2008
Brūkleņu iela 4, Jūrmala, LV-2008
Bulduru prospekts 100A, Jūrmala, LV-2010
Bulduru prospekts 102A, Jūrmala, LV-2010
Bulduru prospekts 103, Jūrmala, LV-2010
Bulduru prospekts 104, Jūrmala, LV-2010
Bulduru prospekts 104A, Jūrmala, LV-2010
Bulduru prospekts 105, Jūrmala, LV-2010
Bulduru prospekts 108, Jūrmala, LV-2010
Bulduru prospekts 110, Jūrmala, LV-2010
Bulduru prospekts 111, Jūrmala, LV-2010
Bulduru prospekts 113, Jūrmala, LV-2010
Bulduru prospekts 116, Jūrmala, LV-2010
Bulduru prospekts 116A, Jūrmala, LV-2010
Bulduru prospekts 121, Jūrmala, LV-2010
Bulduru prospekts 122, Jūrmala, LV-2010
Bulduru prospekts 126, Jūrmala, LV-2010
Bulduru prospekts 128, Jūrmala, LV-2010
Bulduru prospekts 129, Jūrmala, LV-2010
Bulduru prospekts 135, Jūrmala, LV-2010
Bulduru prospekts 140, Jūrmala, LV-2010
Bulduru prospekts 142, Jūrmala, LV-2010
Bulduru prospekts 144, Jūrmala, LV-2010
Bulduru prospekts 150, Jūrmala, LV-2010
Bulduru prospekts 16, Jūrmala, LV-2010
Bulduru prospekts 2, Jūrmala, LV-2010
Bulduru prospekts 20, Jūrmala, LV-2010
Bulduru prospekts 20 k-3, Jūrmala, LV-2010
Bulduru prospekts 22 k-2, Jūrmala, LV-2010
Bulduru prospekts 22 k-4, Jūrmala, LV-2010
Bulduru prospekts 23, Jūrmala, LV-2010
Bulduru prospekts 25, Jūrmala, LV-2010
Bulduru prospekts 25 k-1, Jūrmala, LV-2010
Bulduru prospekts 26, Jūrmala, LV-2010
Bulduru prospekts 27, Jūrmala, LV-2010
Bulduru prospekts 28, Jūrmala, LV-2010
Bulduru prospekts 30, Jūrmala, LV-2010
Bulduru prospekts 31, Jūrmala, LV-2010
Bulduru prospekts 32, Jūrmala, LV-2010
Bulduru prospekts 32 k-1, Jūrmala, LV-2010
Bulduru prospekts 34, Jūrmala, LV-2010
Bulduru prospekts 35 k-2, Jūrmala, LV-2010
Bulduru prospekts 35 k-5, Jūrmala, LV-2010
Bulduru prospekts 38, Jūrmala, LV-2010
Bulduru prospekts 40 k-2, Jūrmala, LV-2010
Bulduru prospekts 41, Jūrmala, LV-2010
Bulduru prospekts 46, Jūrmala, LV-2010
Bulduru prospekts 47 k-1, Jūrmala, LV-2010
Bulduru prospekts 47 k-3, Jūrmala, LV-2010
Bulduru prospekts 55 k-2, Jūrmala, LV-2010
Bulduru prospekts 56, Jūrmala, LV-2010
Bulduru prospekts 65, Jūrmala, LV-2010
Bulduru prospekts 67, Jūrmala, LV-2010
Bulduru prospekts 69, Jūrmala, LV-2010
Bulduru prospekts 72, Jūrmala, LV-2010
Bulduru prospekts 74, Jūrmala, LV-2010
Bulduru prospekts 77, Jūrmala, LV-2010
Bulduru prospekts 82, Jūrmala, LV-2010
2. līnija 2 k-1, Jūrmala, LV-2010
Bulduru prospekts 91, Jūrmala, LV-2010
Bulduru prospekts 92 k-2, Jūrmala, LV-2010
Bulduru prospekts 93, Jūrmala, LV-2010
Bulduru prospekts 93 k-2, Jūrmala, LV-2010
Bulduru prospekts 97, Jūrmala, LV-2010
Bulduru prospekts 98, Jūrmala, LV-2010
Burtnieku iela 10, Jūrmala, LV-2010
Burtnieku iela 16, Jūrmala, LV-2010
Burtnieku iela 20, Jūrmala, LV-2010
Burtnieku iela 22, Jūrmala, LV-2010
Burtnieku iela 24, Jūrmala, LV-2010
Buru iela 3A, Jūrmala, LV-2010
Buru iela 4, Jūrmala, LV-2010
Buru iela 5, Jūrmala, LV-2010
Buru iela 5A, Jūrmala, LV-2010
Buru iela 6, Jūrmala, LV-2010
Caunu iela 10, Jūrmala, LV-2008
Caunu iela 13, Jūrmala, LV-2008
Caunu iela 2, Jūrmala, LV-2008
Caunu iela 4, Jūrmala, LV-2008
Cēsu iela 2A, Jūrmala, LV-2010
Cēsu iela 3, Jūrmala, LV-2010
Cēsu iela 8, Jūrmala, LV-2010
Celtnieku iela 4, Jūrmala, LV-2016
Celtnieku iela 6, Jūrmala, LV-2016
Celtnieku iela 8, Jūrmala, LV-2016
Ceriņu iela 38, Jūrmala, LV-2015
Ceriņu iela 5, Jūrmala, LV-2015
Ceru iela 4, Jūrmala, LV-2015
Ceru iela 7, Jūrmala, LV-2015
Ceru iela 9, Jūrmala, LV-2015
Ciļņu iela 11, Jūrmala, LV-2008
Ciļņu iela 7, Jūrmala, LV-2008
Ciļņu iela 8, Jūrmala, LV-2008
Cīruļu iela 10, Jūrmala, LV-2008
Cīruļu iela 100, Jūrmala, LV-2011
Cīruļu iela 101, Jūrmala, LV-2011
Cīruļu iela 102, Jūrmala, LV-2011
Cīruļu iela 104, Jūrmala, LV-2011
Cīruļu iela 105, Jūrmala, LV-2011
Cīruļu iela 106, Jūrmala, LV-2011
Cīruļu iela 107, Jūrmala, LV-2011
Cīruļu iela 111, Jūrmala, LV-2011
Cīruļu iela 113, Jūrmala, LV-2011
Cīruļu iela 115, Jūrmala, LV-2011
Cīruļu iela 119, Jūrmala, LV-2011
Cīruļu iela 12, Jūrmala, LV-2008
Cīruļu iela 121, Jūrmala, LV-2011
Cīruļu iela 129, Jūrmala, LV-2011
Cīruļu iela 12A, Jūrmala, LV-2008
Cīruļu iela 13, Jūrmala, LV-2008
Cīruļu iela 131, Jūrmala, LV-2011
Cīruļu iela 16, Jūrmala, LV-2008
Cīruļu iela 19, Jūrmala, LV-2008
Cīruļu iela 29, Jūrmala, LV-2008
Cīruļu iela 36, Jūrmala, LV-2008
Cīruļu iela 37, Jūrmala, LV-2008
Cīruļu iela 38, Jūrmala, LV-2008
Cīruļu iela 39, Jūrmala, LV-2008
Cīruļu iela 41, Jūrmala, LV-2008
Cīruļu iela 42, Jūrmala, LV-2008
Cīruļu iela 42A, Jūrmala, LV-2008
Cīruļu iela 45, Jūrmala, LV-2008
Cīruļu iela 46, Jūrmala, LV-2008
Cīruļu iela 48, Jūrmala, LV-2008
Cīruļu iela 5, Jūrmala, LV-2008
Cīruļu iela 50, Jūrmala, LV-2008
Cīruļu iela 56, Jūrmala, LV-2008
Cīruļu iela 57, Jūrmala, LV-2008
Cīruļu iela 58, Jūrmala, LV-2008
Cīruļu iela 59, Jūrmala, LV-2008
Cīruļu iela 60, Jūrmala, LV-2008
Cīruļu iela 60A, Jūrmala, LV-2008
Cīruļu iela 61, Jūrmala, LV-2008
Cīruļu iela 70, Jūrmala, LV-2011
Cīruļu iela 72, Jūrmala, LV-2011
Cīruļu iela 74, Jūrmala, LV-2011
Cīruļu iela 76, Jūrmala, LV-2011
Cīruļu iela 78, Jūrmala, LV-2011
Cīruļu iela 79, Jūrmala, LV-2008
Cīruļu iela 8, Jūrmala, LV-2008
Cīruļu iela 80, Jūrmala, LV-2011
Cīruļu iela 81, Jūrmala, LV-2008
Cīruļu iela 82, Jūrmala, LV-2011
Cīruļu iela 83, Jūrmala, LV-2008
Cīruļu iela 84, Jūrmala, LV-2011
Cīruļu iela 85A, Jūrmala, LV-2008
Cīruļu iela 86, Jūrmala, LV-2011
Cīruļu iela 87, Jūrmala, LV-2008
Cīruļu iela 88, Jūrmala, LV-2011
Cīruļu iela 92, Jūrmala, LV-2011
Cīruļu iela 94, Jūrmala, LV-2011
Cīruļu iela 95, Jūrmala, LV-2011
Cīruļu iela 96, Jūrmala, LV-2011
Cīruļu iela 98, Jūrmala, LV-2011
Ērgļu iela 2, Jūrmala, LV-2015
Dambja iela 1, Jūrmala, LV-2011
Dambja iela 13, Jūrmala, LV-2011
Dambja iela 14, Jūrmala, LV-2011
Dambja iela 25, Jūrmala, LV-2011
Dambja iela 29, Jūrmala, LV-2011
Dambja iela 34, Jūrmala, LV-2011
Dambja iela 5, Jūrmala, LV-2011
Dambja iela 6, Jūrmala, LV-2011
Dambja iela 9, Jūrmala, LV-2011
Darba iela 12, Jūrmala, LV-2011
Darba iela 14, Jūrmala, LV-2011
Darba iela 16, Jūrmala, LV-2011
Darba iela 2, Jūrmala, LV-2011
Darba iela 3, Jūrmala, LV-2011
Darba iela 6, Jūrmala, LV-2011
Darba iela 8, Jūrmala, LV-2011
Darba iela 9, Jūrmala, LV-2011
Dārzkopības iela 11, Jūrmala, LV-2010
Dārzkopības iela 13, Jūrmala, LV-2010
Dārzkopības iela 18, Jūrmala, LV-2010
Dārzkopības iela 21, Jūrmala, LV-2010
Dārzkopības iela 22, Jūrmala, LV-2010
Dārzkopības iela 23A, Jūrmala, LV-2010
Dārzkopības iela 4, Jūrmala, LV-2010
Dārzu iela 10, Jūrmala, LV-2008
Dārzu iela 15, Jūrmala, LV-2008
Dārzu iela 16, Jūrmala, LV-2008
Dārzu iela 18, Jūrmala, LV-2008
Dārzu iela 20, Jūrmala, LV-2008
Dārzu iela 22, Jūrmala, LV-2008
Dārzu iela 22A, Jūrmala, LV-2008
Dārzu iela 23, Jūrmala, LV-2008
Dārzu iela 24, Jūrmala, LV-2008
Dārzu iela 25, Jūrmala, LV-2008
Dārzu iela 25A, Jūrmala, LV-2008
Dārzu iela 25B, Jūrmala, LV-2008
Dārzu iela 29, Jūrmala, LV-2008
Dārzu iela 30, Jūrmala, LV-2008
Dārzu iela 35, Jūrmala, LV-2008
Dārzu iela 40, Jūrmala, LV-2008
Dārzu iela 40A, Jūrmala, LV-2008
Dārzu iela 41, Jūrmala, LV-2008
Dārzu iela 42, Jūrmala, LV-2008
Dārzu iela 44A, Jūrmala, LV-2008
Dārzu iela 48, Jūrmala, LV-2008
Dārzu iela 50, Jūrmala, LV-2008
Dārzu iela 50A, Jūrmala, LV-2008
Dārzu iela 53, Jūrmala, LV-2008
Dārzu iela 54, Jūrmala, LV-2008
Dārzu iela 55, Jūrmala, LV-2008
Dārzu iela 56, Jūrmala, LV-2008
Dārzu iela 57, Jūrmala, LV-2008
Dārzu iela 61, Jūrmala, LV-2008
Dārzu iela 63, Jūrmala, LV-2008
Dārzu iela 69, Jūrmala, LV-2008
Dārzu iela 71, Jūrmala, LV-2008
Dārzu iela 73, Jūrmala, LV-2008
Dārzu iela 79, Jūrmala, LV-2008
Daugavas iela 1, Jūrmala, LV-2008
